"Nome","Códigos","Bolsa","Último","Compra","Venda","Negociação Estendida","Negociação Estendida (%)","Abertura","Prévio","Máxima","Mínima","Variação","Var%","Vol.","Próximos Balanços","Hora","Valor de Mercado","Receita","Volume Médio (3m)","LPA","Relação P/L","Beta","Dividendo","Rendimento","5 minutos","15 minutos","30 minutos","Hora","5 horas","Diário","Semanal","Mensal","Diário","1 Semana","1 Mês","YTD","1 ano","3 anos"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/08/2026","NTB081526=STNC","BVMF","4.332,090","-","-","--","--","4.332,090","4.239,866","4.332,090","4.332,090","+4,460","+0,10%","-","--","","-","","-","-","-","-","-","-","","","","","","Venda Forte","Venda","Compra","0,10%","0,00%","0,00%","-0,56%","0,08%","7,38%"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/05/2025","NTB051525=","BVMF","4.554,396","-","-","--","--","4.554,396","4.553,075","4.554,396","4.554,396","+1,321","+0,03%","-","--","","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,03%","0,00%","0,00%","3,95%","4,16%","14,87%"
"Tesouro Prefixado Vencimento em 01/01/2029","LTN010129=","BVMF","582,336","-","-","--","--","582,336","645,310","582,336","582,336","-62,974","-9,76%","-","--","","-","","-","-","-","-","-","-","","","","","","Venda Forte","Venda","Compra","-9,76%","0,16%","-3,18%","-3,18%","-4,91%","-"
"Tesouro Prefixado Vencimento em 01/07/2026","LTN070126=","BVMF","838,863","-","-","--","--","838,863","837,893","838,863","838,863","+0,970","+0,12%","-","--","","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,12%","0,00%","0,00%","4,65%","3,37%","-"
"Tesouro Prefixado Vencimento em 01/01/2026","LTN010126=STNC","BVMF","891,640","-","-","--","--","891,640","703,946","891,640","891,640","+1,590","+0,18%","-","--","","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,18%","0,00%","0,00%","3,05%","2,88%","27,38%"
"Tesouro Prefixado Vencimento em 01/07/2025","LTN070125=","BVMF","967,568","-","-","--","--","967,568","966,948","967,568","967,568","+0,620","+0,06%","-","--","","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,06%","0,00%","0,00%","3,29%","8,11%","33,25%"
"Tesouro Prefixado Vencimento em 01/04/2025","LTN040125=","BVMF","994,798","-","-","--","--","994,798","990,918","994,798","994,798","+0,469","+0,05%","-","--","","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,05%","0,00%","0,00%","2,59%","4,40%","-"
"Tesouro Prefixado Vencimento em 01/01/2025","LTN010125=STNC","BVMF","999,070","-","-","--","--","999,070","0,000","999,070","999,070","+0,460","+0,05%","-","--","","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,05%","0,00%","0,00%","0,00%","8,99%","36,10%"
"Tesouro Prefixado Vencimento em 01/10/2024","LTN100124=","BVMF","999,597","-","-","--","--","999,597","999,194","999,597","999,597","+0,000","+0,00%","-","--","","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,00%","0,00%","0,60%","7,71%","10,68%","-"
"Tesouro Prefixado Vencimento em 01/07/2024","LTN070124=ANDS","RRPS","991,857","-","-","--","--","991,857","0,000","10,481","10,180","+0,000","+0,00%","-","--","","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","0,00%","-0,20%","0,35%","4,28%","11,43%","25,90%"
"Tesouro Prefixado Vencimento em 01/04/2024","LTN040124=","BVMF","999,572","-","-","--","--","999,572","999,144","999,572","999,572","+0,000","+0,00%","-","--","","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,00%","0,00%","0,00%","2,73%","5,43%","-"
"Tesouro Prefixado Vencimento em 01/01/2024","LTN010124=","BVMF","999,052","-","-","--","--","999,052","998,586","999,052","999,052","+0,000","+0,00%","-","--","","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,00%","0,00%","0,00%","0,00%","2,62%","21,94%"
"Tesouro Prefixado Vencimento em 01/10/2023","LTN100123=","BVMF","999,496","-","-","--","--","999,496","998,992","999,496","999,496","+0,504","+0,05%","-","--","","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,05%","0,00%","0,00%","0,00%","0,00%","-"
"Tesouro Selic Vencimento em 01/09/2028","LFT090128=","BVMF","0,079","-","-","--","--","0,079","0,076","0,079","0,079","+0,000","+0,00%","-","--","","-","","-","-","-","-","-","-","","","","","","Neutro","Venda","Venda Forte","0,00%","0,00%","0,00%","-12,22%","-100,00%","-100,00%"
"Tesouro Selic Vencimento em 01/03/2028","LFT030128=","BVMF","0,058","-","-","--","--","0,058","0,053","0,058","0,058","+-0,001","+-1,69%","-","--","","-","","-","-","-","-","-","-","","","","","","Neutro","Venda","Venda Forte","-1,69%","0,00%","0,00%","-13,43%","-100,00%","-100,00%"
"Tesouro Selic Vencimento em 01/03/2029","LFT030129=STNC","BVMF","16.084,000","-","-","--","--","16.084,000","15.462,447","16.084,000","16.084,000","+8,150","+0,05%","-","--","","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,05%","0,00%","0,00%","2,32%","4,39%","-"
"Tesouro IGP-M Vencimento em 01/01/2031","NTC010131=STNC","BVMF","7.956,600","-","-","--","--","7.956,600","8.257,982","7.956,600","7.956,600","+33,280","+0,42%","-","--","","-","","-","-","-","-","-","-","","","","","","Neutro","Venda","Venda Forte","0,42%","0,00%","0,00%","-2,80%","-2,11%","-12,01%"
"S&P Merval",".MERV","BCBA","2.805.316,50","-","-","--","--","2.778.076,00","2.805.316,50","2.845.912,25","2.770.674,75","+27.291,35","+0,98%","-","--","25/03","-","","1","-","-","-","-","-","Neutro","Venda","Neutro","Compra","Compra Forte","Compra Forte","Neutro","Compra Forte","0,98%","1,32%","6,18%","-8,07%","16,30%","1.100,19%"
"USD/BOB - Dólar Americano Boliviano","USD/BOB - Dólar Americano Boliviano","FX","6,9341","6.7612","7.1071","--","--","6,9139","6,9139","6,9341","6,9139","+0,0202","+0,29%","-","--","","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra","Compra Forte","Compra Forte","0,29%","0,13%","0,13%","0,13%","0,13%","-0,01%"
"USD/PEN - Dólar Americano Sol do Peru","USD/PEN - Dólar Americano Sol do Peru","FX","3,4702","3.4010","3.5394","--","--","3,4605","3,4605","3,4702","3,4605","+0,0097","+0,28%","-","--","","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra","Venda","0,28%","0,46%","3,43%","3,18%","-4,64%","-7,58%"
"iShares Latin America 40 ETF","ILF","NYSE","34,81","-","-","34,80","--","34,54","34,81","34,93","34,38","+0,85","+2,50%","3.402.183","--","25/03","4.140.000.000","80.920.000","4.370.909","4,14","7,28","0,814","1,3366","3,84%","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","2,50%","2,84%","-4,58%","14,32%","44,44%","52,21%"
"iShares MSCI Peru ETF","EPU","NYSE","78,97","-","-","77,85","-1,42%","79,09","78,97","79,49","78,62","+1,93","+2,51%","74.074","--","25/03","505.410.000","","167.352","-","-","-","1,1804","1,49%","Venda Forte","Neutro","Compra Forte","Compra Forte","Compra","Neutro","Neutro","Compra Forte","2,51%","3,05%","-15,85%","9,15%","76,04%","169,06%"
"S&P/BMV IPC",".MXX","BMV","68.187,60","-","-","--","--","66.008,54","68.187,60","68.267,20","66.008,54","+2.412,46","+3,67%","202.979.598","--","25/03","-","","174.690.058","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra","Compra Forte","3,67%","4,58%","-4,51%","6,03%","27,51%","29,02%"
"S&P CLX IPSA",".SPIPSA","BCS","10.409,95","-","-","--","--","10.206,16","10.409,95","10.445,73","10.206,16","+203,79","+2,00%","-","--","25/03","-","","1","-","-","-","-","-","Venda Forte","Neutro","Compra","Compra","Neutro","Neutro","Neutro","Compra Forte","2,00%","-0,61%","-4,30%","-0,68%","36,01%","97,98%"
"iShares MSCI Chile ETF","ECH","NYSE","39,04","-","-","38,60","-1,13%","39,10","39,04","39,41","38,90","+0,54","+1,40%","997.041","--","25/03","1.020.000.000","","1.144.119","-","-","-","0,8133","2,08%","Venda Forte","Neutro","Neutro","Neutro","Venda","Venda Forte","Venda","Compra Forte","1,40%","-1,81%","-10,25%","-3,37%","29,40%","39,33%"
"iShares MSCI Mexico ETF","EWW","NYSE","75,16","-","-","75,27","--","73,00","75,16","75,23","72,92","+2,70","+3,73%","2.352.741","--","25/03","2.180.000.000","65.200.000","1.947.329","12,98","5,30","0,864","2,4104","3,21%","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra","Compra","Compra Forte","3,73%","4,13%","-7,14%","8,41%","44,12%","30,64%"
"EUA a 30 anos","USc1=","NYSE","4,942","-","-","--","--","4,917","4,897","4,942","4,916","+0,045","+0,92%","-","--","08:29:20","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","0,84%","1,75%","6,58%","2,24%","4,61%","31,03%"
"EUA a 1 ano","US1YT=RR","NYSE","3,804","-","-","--","--","3,796","3,772","3,855","3,788","+0,032","+0,85%","-","--","08:29:20","-","","-","-","-","-","-","-","Venda","Neutro","Neutro","Compra","Compra Forte","Compra Forte","Compra","Neutro","0,85%","1,22%","9,31%","9,47%","-7,17%","-15,64%"
"USD/UYU - Dólar Americano Peso Uruguaio","USD/UYU - Dólar Americano Peso Uruguaio","FX","40,6241","40.1053","41.1430","--","--","40,5049","40,5049","40,6241","40,5049","+0,1192","+0,29%","-","--","","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","0,29%","0,80%","5,64%","4,02%","-3,53%","4,32%"
"USD/CLP - Dólar Americano Peso Chileno","USD/CLP - Dólar Americano Peso Chileno","FX","922,60","921,90","923,29","--","--","915,58","915,58","922,60","916,28","+7,02","+0,77%","-","--","08:29:43","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","0,43%","0,78%","5,25%","2,10%","-1,47%","14,16%"
"USD/ARS - Dólar Americano Peso Argentino","USD/ARS - Dólar Americano Peso Argentino","FX","1.376,7620","1,376.7570","1,376.7670","--","--","1.376,7917","1.376,7917","1.377,0001","1.376,3928","-0,0297","0,00%","-","--","","-","","-","-","-","-","-","-","Compra Forte","Venda Forte","Neutro","Neutro","Venda Forte","Venda Forte","Venda","Compra Forte","0,00%","-1,31%","-1,45%","-5,15%","28,47%","563,72%"
