"Nome","Códigos","Bolsa","Último","Compra","Venda","Negociação Estendida","Negociação Estendida (%)","Abertura","Prévio","Máxima","Mínima","Variação","Var%","Vol.","Próximos Balanços","Hora","Valor de Mercado","Receita","Volume Médio (3m)","LPA","Relação P/L","Beta","Dividendo","Rendimento","5 minutos","15 minutos","30 minutos","Hora","5 horas","Diário","Semanal","Mensal","Diário","1 Semana","1 Mês","YTD","1 ano","3 anos"
"USD/PEN - Dólar Americano Sol do Peru","USD/PEN - Dólar Americano Sol do Peru","FX","3,4584","3,3891","3,5278","--","--","3,4605","3,4605","3,4702","3,4584","-0,0021","-0,06%","-","--","11:30:01","-","","-","-","-","-","-","-","Neutro","Neutro","Neutro","Neutro","Neutro","Compra Forte","Compra","Venda","-0,06%","0,12%","3,08%","2,83%","-4,96%","-7,89%"
"iShares Latin America 40 ETF","ILF","NYSE","34,70","-","-","--","--","34,45","34,81","34,70","34,36","-0,12","-0,33%","234.786","--","11:30:58","4.140.000.000","80.920.000","4.370.909","4,14","7,28","0,814","1,3366","3,84%","Compra Forte","Compra","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","-0,40%","2,42%","-4,96%","13,86%","43,86%","51,60%"
"iShares MSCI Peru ETF","EPU","NYSE","77,90","-","-","--","--","77,12","78,97","78,10","77,12","-1,07","-1,35%","5.807","--","10:53:29","505.410.000","","167.352","-","-","-","1,1804","1,49%","Venda Forte","Venda Forte","Venda Forte","Neutro","Venda","Venda Forte","Neutro","Compra Forte","-1,35%","1,66%","-16,99%","7,67%","73,65%","165,42%"
"S&P/BMV IPC",".MXX","BMV","67.704,72","-","-","--","--","67.936,03","68.187,60","67.936,03","67.419,65","-482,88","-0,71%","10,695,353","--","","-","","174.690.058","-","-","-","-","-","Neutro","Neutro","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra","Compra Forte","-0,83%","3,72%","-5,30%","5,16%","26,45%","27,95%"
"S&P CLX IPSA",".SPIPSA","BCS","10.457,44","-","-","--","--","10.409,95","10.409,95","10.462,77","10.322,93","+47,49","+0,46%","-","--","11:30:47","-","","1","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra","Neutro","Neutro","Compra Forte","0,49%","-0,11%","-3,83%","-0,19%","36,68%","98,96%"
"iShares MSCI Chile ETF","ECH","NYSE","39,10","-","-","--","--","38,69","39,04","39,13","38,38","+0,07","+0,17%","70.731","--","11:29:16","1.020.000.000","","1.144.119","-","-","-","0,8133","2,08%","Neutro","Venda Forte","Venda Forte","Venda","Venda Forte","Venda Forte","Venda","Compra Forte","-0,31%","-2,11%","-10,53%","-3,66%","29,00%","38,90%"
"iShares MSCI Mexico ETF","EWW","NYSE","74,68","-","-","--","--","74,65","75,16","74,79","74,20","-0,48","-0,64%","205.191","--","11:30:50","2.180.000.000","65.200.000","1.947.329","12,98","5,30","0,864","2,4104","3,21%","Neutro","Neutro","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra","Compra Forte","-0,90%","3,19%","-7,98%","7,43%","42,82%","29,46%"
"EUA a 30 anos","USc1=","NYSE","4,916","-","-","--","--","4,917","4,897","4,943","4,910","+0,019","+0,39%","-","--","11:29:59","-","","-","-","-","-","-","-","Venda Forte","Venda Forte","Venda Forte","Venda","Neutro","Compra Forte","Compra Forte","Compra Forte","0,29%","1,20%","6,00%","1,68%","4,04%","30,32%"
"EUA a 1 ano","US1YT=RR","NYSE","3,793","-","-","--","--","3,796","3,772","3,855","3,788","+0,021","+0,56%","-","--","11:27:31","-","","-","-","-","-","-","-","Venda Forte","Venda Forte","Venda","Venda","Compra","Compra Forte","Compra","Neutro","0,64%","1,01%","9,08%","9,24%","-7,37%","-15,81%"
"USD/UYU - Dólar Americano Peso Uruguaio","USD/UYU - Dólar Americano Peso Uruguaio","FX","40,5125","39,9922","41,0328","--","--","40,5049","40,5049","40,6241","40,5049","+0,0076","+0,02%","-","--","11:30:01","-","","-","-","-","-","-","-","Compra","Compra","Compra","Compra","Compra","Compra Forte","Compra Forte","Neutro","0,02%","0,53%","5,35%","3,73%","-3,79%","4,04%"
